date,open,high,low,close
2018-04-04,1.22787,1.22902,1.22184,1.22398
2018-04-05,1.22398,1.22912,1.22149,1.22811
2018-04-08,1.2287,1.23311,1.22604,1.23209
2018-04-09,1.23189,1.23776,1.23027,1.2356
2018-04-10,1.23543,1.23976,1.2347,1.23674
2018-04-11,1.23658,1.23799,1.22991,1.2326
2018-04-12,1.23278,1.23462,1.2307,1.23306
2018-04-15,1.23342,1.23948,1.2324,1.23792
2018-04-16,1.23815,1.2414,1.23362,1.23698
2018-04-17,1.23733,1.23973,1.23416,1.23742
2018-04-18,1.23742,1.24004,1.23292,1.23451
2018-04-19,1.23472,1.23528,1.22498,1.22884
2018-04-22,1.22735,1.22896,1.21975,1.22083
2018-04-23,1.22083,1.22449,1.21817,1.2233
2018-04-24,1.2233,1.22388,1.21604,1.21608
2018-04-25,1.21615,1.22101,1.20965,1.21032
2018-04-26,1.21058,1.2133,1.20556,1.21303
2018-04-29,1.21245,1.2139,1.20646,1.2079
2018-04-30,1.20775,1.20842,1.19812,1.1992
2018-05-01,1.1993,1.2032,1.19376,1.19506
2018-05-02,1.19517,1.20089,1.19474,1.19889
2018-05-03,1.1988,1.19956,1.19102,1.19619
2018-05-06,1.19581,1.19782,1.18972,1.19228
2018-05-07,1.19239,1.19391,1.1838,1.18644
2018-05-08,1.18616,1.1897,1.18224,1.18512
2018-05-09,1.18495,1.19466,1.18432,1.19156
2018-05-10,1.19156,1.19682,1.18912,1.1941
2018-05-13,1.19436,1.19964,1.1926,1.19266
2018-05-14,1.19229,1.19387,1.18202,1.18374
2018-05-15,1.18394,1.18542,1.17632,1.1808
2018-05-16,1.18063,1.18376,1.17763,1.17941
2018-05-17,1.17948,1.18222,1.17499,1.17694
2018-05-20,1.17728,1.17958,1.17164,1.17912
2018-05-21,1.17888,1.18301,1.17566,1.17779
2018-05-22,1.1781,1.17897,1.16756,1.16972
2018-05-23,1.16962,1.17506,1.16905,1.17194
2018-05-24,1.17215,1.17339,1.16453,1.1649
2018-05-27,1.16868,1.17288,1.16074,1.16239
2018-05-28,1.16247,1.16397,1.151,1.15386
2018-05-29,1.15352,1.16766,1.15184,1.16642
2018-05-30,1.16628,1.17244,1.1641,1.16941
2018-05-31,1.16902,1.17182,1.16174,1.16591
2018-06-03,1.16591,1.17446,1.16591,1.16986
2018-06-04,1.16969,1.17324,1.16525,1.17184
2018-06-05,1.17129,1.17959,1.17124,1.17744
2018-06-06,1.17752,1.18399,1.17727,1.1799
2018-06-07,1.18014,1.18104,1.1727,1.1769
2018-06-10,1.17752,1.18204,1.1771,1.17845
2018-06-11,1.17825,1.18089,1.17332,1.17436
2018-06-12,1.17462,1.18011,1.17254,1.1793
2018-06-13,1.17916,1.18518,1.15627,1.15677
2018-06-14,1.15691,1.16272,1.15431,1.16089
2018-06-17,1.15884,1.16246,1.15654,1.16232
2018-06-18,1.16232,1.16446,1.1531,1.15916
2018-06-19,1.15896,1.16003,1.15356,1.15761
2018-06-20,1.1573,1.16338,1.1508,1.16028
2018-06-21,1.16035,1.16754,1.16004,1.16574
2018-06-24,1.16647,1.17134,1.16284,1.17037
2018-06-25,1.17042,1.17212,1.16348,1.16465
2018-06-26,1.16457,1.1672,1.15403,1.15542
2018-06-27,1.15534,1.1601,1.15272,1.1569
2018-06-28,1.15664,1.16904,1.15584,1.16847
2018-07-01,1.16803,1.16918,1.15914,1.16392
2018-07-02,1.16392,1.1673,1.16205,1.1659
2018-07-03,1.1657,1.16818,1.16304,1.1656
2018-07-04,1.16567,1.17202,1.165,1.16918
2018-07-05,1.16899,1.17684,1.16798,1.17457
2018-07-08,1.17444,1.17908,1.17326,1.17509
2018-07-09,1.17557,1.17628,1.16904,1.17444
2018-07-10,1.17427,1.17588,1.16656,1.16743
2018-07-11,1.16729,1.16962,1.16496,1.16719
2018-07-12,1.16707,1.16873,1.16128,1.16858
2018-07-15,1.16908,1.17256,1.16758,1.17112
2018-07-16,1.17096,1.17448,1.16494,1.16618
2018-07-17,1.16599,1.16652,1.16018,1.16392
2018-07-18,1.16386,1.16789,1.15748,1.16418
2018-07-19,1.16453,1.17386,1.16264,1.17227
2018-07-22,1.17266,1.17514,1.16836,1.1691
2018-07-23,1.16906,1.17168,1.16546,1.16831
2018-07-24,1.16814,1.17388,1.16642,1.17297
2018-07-25,1.17327,1.17438,1.16403,1.16416
2018-07-26,1.16416,1.16644,1.16204,1.16568
2018-07-29,1.1657,1.17188,1.16484,1.17053
2018-07-30,1.17059,1.17462,1.16844,1.16908
2018-07-31,1.1693,1.16996,1.16574,1.16592
2018-08-01,1.16588,1.16676,1.15816,1.15844
2018-08-02,1.15872,1.16109,1.15596,1.15674
2018-08-05,1.15688,1.1572,1.15298,1.15527
2018-08-06,1.15536,1.16084,1.155,1.15982
2018-08-07,1.15992,1.1628,1.15732,1.16104
2018-08-08,1.16106,1.16192,1.15256,1.15263
2018-08-09,1.15278,1.15368,1.13882,1.14119
2018-08-12,1.13715,1.14328,1.13652,1.14094
2018-08-13,1.14112,1.14294,1.133,1.13436
2018-08-14,1.1346,1.13554,1.1301,1.13462
2018-08-15,1.13462,1.14091,1.13358,1.13762
2018-08-16,1.13762,1.1445,1.13666,1.14376
2018-08-19,1.14395,1.14853,1.13946,1.14825
2018-08-20,1.14812,1.16015,1.1481,1.15707
2018-08-21,1.15712,1.1623,1.15532,1.15964
2018-08-22,1.15944,1.16002,1.15299,1.15416
2018-08-23,1.15375,1.16402,1.15346,1.1622
2018-08-26,1.16154,1.1694,1.15947,1.16783
2018-08-27,1.1679,1.17337,1.16623,1.16948
2018-08-28,1.1696,1.17098,1.16521,1.17074
2018-08-29,1.1706,1.17185,1.16416,1.16682
2018-08-30,1.16666,1.16912,1.15844,1.16019
2018-09-02,1.15982,1.16279,1.15894,1.16204
2018-09-03,1.16198,1.16214,1.15302,1.1583
2018-09-04,1.15806,1.1641,1.15432,1.16308
2018-09-05,1.16308,1.16594,1.16054,1.16234
2018-09-06,1.16216,1.16496,1.15505,1.15521
2018-09-09,1.15477,1.16164,1.1526,1.15938
2018-09-10,1.15952,1.1644,1.15656,1.16044
2018-09-11,1.16065,1.165,1.15702,1.1627
2018-09-12,1.16267,1.17012,1.1609,1.16901
2018-09-13,1.16901,1.17218,1.16207,1.1625
2018-09-16,1.1626,1.1698,1.16178,1.16838
2018-09-17,1.16851,1.17248,1.1652,1.16676
2018-09-18,1.16654,1.17152,1.165,1.16718
2018-09-19,1.16738,1.17846,1.16688,1.17776
2018-09-20,1.17776,1.1803,1.17331,1.17482
2018-09-23,1.17457,1.18151,1.1724,1.1747
2018-09-24,1.1749,1.17926,1.17308,1.17666
2018-09-25,1.1766,1.17976,1.17258,1.17409
2018-09-26,1.17386,1.17572,1.1639,1.1641
2018-09-27,1.1641,1.16514,1.15698,1.16027
2018-09-30,1.16182,1.16253,1.15634,1.1578
2018-10-01,1.15792,1.15808,1.15052,1.15493
2018-10-02,1.15496,1.1594,1.1464,1.14786
2018-10-03,1.14736,1.1543,1.14636,1.15141
2018-10-04,1.1516,1.15502,1.14838,1.15221
2018-10-07,1.15231,1.15298,1.146,1.14916
2018-10-08,1.14879,1.15035,1.14322,1.1492
2018-10-09,1.14904,1.15451,1.14798,1.1521
2018-10-10,1.15219,1.15996,1.15201,1.15936
2018-10-11,1.15873,1.16106,1.15344,1.15597
2018-10-14,1.15404,1.16064,1.15397,1.15788
2018-10-15,1.15795,1.16216,1.15658,1.15747
2018-10-16,1.15734,1.15802,1.14962,1.15
2018-10-17,1.15014,1.15272,1.14496,1.14526
2018-10-18,1.14538,1.15348,1.14332,1.15142
2018-10-21,1.15164,1.15503,1.14558,1.14647
2018-10-22,1.14647,1.14898,1.14396,1.14721
2018-10-23,1.14728,1.1477,1.13786,1.13914
2018-10-24,1.13926,1.14328,1.13561,1.13748
2018-10-25,1.13741,1.14208,1.13357,1.14033
2018-10-28,1.13934,1.14165,1.13607,1.13732
2018-10-29,1.13732,1.13878,1.13404,1.13452
2018-10-30,1.13442,1.13604,1.1302,1.13117
2018-10-31,1.13114,1.14244,1.13078,1.14088
2018-11-01,1.14078,1.14562,1.1372,1.13875
2018-11-04,1.13883,1.14242,1.13534,1.14066
2018-11-05,1.14062,1.14381,1.13916,1.14268
2018-11-06,1.1427,1.15004,1.13951,1.14254
2018-11-07,1.14266,1.1447,1.13515,1.13631
2018-11-08,1.13643,1.13694,1.1316,1.13371
2018-11-11,1.13232,1.13314,1.12155,1.12173
2018-11-12,1.12184,1.1294,1.12164,1.12907
2018-11-13,1.12898,1.1348,1.12632,1.13094
2018-11-14,1.13084,1.13627,1.12706,1.13288
2018-11-15,1.13248,1.14207,1.13216,1.14184
2018-11-18,1.14138,1.14649,1.1394,1.14526
2018-11-19,1.14558,1.14722,1.13586,1.13705
2018-11-20,1.13676,1.14251,1.13654,1.13852
2018-11-21,1.13833,1.14338,1.1381,1.14013
2018-11-22,1.14042,1.14212,1.13276,1.13359
2018-11-25,1.13406,1.13834,1.1325,1.13276
2018-11-26,1.13271,1.1344,1.12774,1.12933
2018-11-27,1.12904,1.1388,1.12674,1.13667
2018-11-28,1.13685,1.14018,1.13492,1.1393
2018-11-29,1.13867,1.14006,1.13054,1.13159
2018-12-02,1.1352,1.13796,1.13193,1.13544
2018-12-03,1.13537,1.14187,1.13186,1.13433
2018-12-04,1.13438,1.13614,1.1311,1.13444
2018-12-05,1.13448,1.14125,1.13212,1.13768
2018-12-06,1.13739,1.14239,1.13603,1.13795
2018-12-09,1.13922,1.14428,1.13506,1.13552
2018-12-10,1.13544,1.14007,1.13062,1.1318
2018-12-11,1.13164,1.13876,1.13148,1.13687
2018-12-12,1.13695,1.13935,1.13312,1.13576
2018-12-13,1.13612,1.1367,1.12701,1.13052
2018-12-16,1.13028,1.13579,1.12998,1.13476
2018-12-17,1.13476,1.14024,1.1337,1.1363
2018-12-18,1.13652,1.14392,1.13618,1.13772
2018-12-19,1.13758,1.14856,1.13696,1.14456
2018-12-20,1.14475,1.14742,1.13561,1.13718
2018-12-23,1.13728,1.14386,1.13614,1.14067
2018-12-25,1.14067,1.14202,1.13432,1.13522
2018-12-26,1.13536,1.14542,1.13524,1.14306
2018-12-27,1.14296,1.14728,1.14274,1.14448
2018-12-30,1.14372,1.14682,1.14216,1.14649
2019-01-01,1.14649,1.1497,1.1325,1.13447
2019-01-02,1.13431,1.14112,1.13091,1.13942
2019-01-03,1.1393,1.1419,1.13458,1.13951
